"id","profesion","actividad","est_civil","sexo_desc","tipo_nacionalidad","edad","estrato","ind_defuncion","ind_interd","n_direccion","comuna","ind_region_rm","avaluo_bbrr","cant_bbrr","avaluo_auto","cant_autos","n_actividad","n_rubros","clean2","tot_docs","tot_mont","ind_morosidad1","ind_morosidad2","ind_consultas_id","status_salud_publica","tramo_salud_publico","cant_personas_fam","cant_vivos_fam","cant_hijos_fam","longitud","latitud","periodo"
"28"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,2,10.8599996566772,1,1,1,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"29"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1,"-71.1499948.93E-4","-33.654438.93E-4",2017
"30"," "," ","CASADO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",2,2,0,"-71.2163478.93E-4","-33.7097248.93E-4",2017
"31"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",2,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",4,4,0,"-71.2324838.93E-4","-33.6806268.93E-4",2017
"32"," "," ","SOLTERO","F","CHILENO",26,"C3","V"," ",1,"1",1,"0",0,0,0,1,1,0,1,15.8900003433228,1,0,0,"S","D",3,3,0,"-71.2150578.93E-4","-33.6803518.93E-4",2017
"33"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,4,0,"-71.2281728.93E-4","-33.6825648.93E-4",2017
"34"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",0,"0",0,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",3,3,0," "," ",2017
"35"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,4,0,"-71.2313398.93E-4","-33.6832548.93E-4",2017
"36"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,1,0,0,1,0,0,0,0,1,"S","D",3,3,1,"-71.2344518.93E-4","-33.6809318.93E-4",2017
"37"," "," ","CASADO","M","CHILENO",26,"D","V"," ",2,"3",0,"0",0,5605000,0,0,0,1,0,0,0,0,1,"S","D",3,3,0,"-71.1884998.93E-4","-33.6777998.93E-4",2017
"38"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,1677142,0,0,0,1,0,0,0,0,1,"S","D",1,1,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"39"," "," ","CASADO","F","CHILENO",27,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",2,2,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"40"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",5,5,0,"-71.2099088.93E-4","-33.6831178.93E-4",2017
"41"," "," ","SOLTERO","F","CHILENO",26,"C3","V"," ",1,"1",0,"0",0,0,0,1,1,1,0,0,0,0,1,"S","D",4,4,0,"-68.6317448.93E-4","-22.1687728.93E-4",2017
"42"," "," ","SOLTERO","M","CHILENO",26,"D","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-71.2189798.93E-4","-33.6991548.93E-4",2017
"43"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",0,"0",0,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",3,3,1," "," ",2017
"44"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.211068.93E-4","-33.682488.93E-4",2017
"45"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,1,0.319999992847443,1,0,1,"S","D",3,3,1,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"46"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"3",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.0353398.93E-4","-33.6668598.93E-4",2017
"47"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"48"," "," ","SOLTERO","F","CHILENO",26,"ABC1","V"," ",1,"24",1,"0",0,0,0,1,1,0,2,5.28999996185303,1,0,1,"S","D",3,3,0,"-70.588738.93E-4","-33.5146418.93E-4",2017
"49"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,1,0,0,0,0,0,0,0,1,"S","D",3,2,0,"-71.2284778.93E-4","-33.6817828.93E-4",2017
"50"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,5714444,0,1,1,0,0,0,0,0,0,"S","D",3,3,1,"-71.2293328.93E-4","-33.6837588.93E-4",2017
"51"," "," ","SOLTERO","F","CHILENO",26,"C3","V"," ",1,"3",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",5,5,0,"-70.7355428.93E-4","-33.745758.93E-4",2017
"52"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",1,"10",1,"0",0,2673703,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-70.7399988.93E-4","-33.4668128.93E-4",2017
"53"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",4,3,0,"-71.1969158.93E-4","-33.6809318.93E-4",2017
"54"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",5,5,0,"-71.2082758.93E-4","-33.6809468.93E-4",2017
"55"," "," ","SOLTERO","F","CHILENO",26,"E","V"," ",2,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",3,3,0,"-71.1548168.93E-4","-33.6536838.93E-4",2017
"56"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",0,"0",0,"0",0,2859193,0,0,0,1,0,0,0,0,1,"S","D",3,3,1," "," ",2017
"57"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"4",1,"0",0,0,0,0,0,0,6,3.32999992370605,1,1,0,"S","D",6,6,0,"-71.1226438.93E-4","-33.5192768.93E-4",2017
"58"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",5,5,0,"-71.2224128.93E-4","-33.7041478.93E-4",2017
"59"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",3,"4",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",3,2,0,"-70.6978848.93E-4","-33.4545258.93E-4",2017
"60"," ","TECNICO","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",5,5,0,"-70.6573188.93E-4","-33.4342428.93E-4",2017
"61"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,1890000,0,1,1,1,0,0,0,0,1,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"62"," "," ","CASADO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,966000,1,1,1,0,0,0,0,0,0,"S","D",3,3,1,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"63"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",2,"1",1,"0",0,2341250,0,0,0,1,0,0,0,0,0,"S","D",3,3,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"64"," "," ","SOLTERO","M","CHILENO",26,"ABC1","V"," ",1,"1",1,"0",0,1739000,1,0,0,0,0,0,0,0,0,"S","D",6,6,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"65"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,1,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"66"," "," ","SOLTERO","F","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",3,3,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"67"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",2,"1",1,"0",0,1412857,1,1,1,1,0,0,0,0,0,"S","D",5,5,0,"-71.2263038.93E-4","-33.6852118.93E-4",2017
"68"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",2,"1",1,"0",0,0,0,0,0,1,0,0,0,0,1,"S","D",3,3,1,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"69"," "," ","SOLTERO","M","CHILENO",26,"D","V"," ",1,"1",1,"0",0,0,0,0,0,0,5,12.6000003814697,0,1,0,"S","D",3,3,0,"-71.2224738.93E-4","-33.6982358.93E-4",2017
"70"," "," ","SOLTERO","M","CHILENO",26,"D","V"," ",1,"4",1,"0",0,550000,0,0,0,1,0,0,0,0,0,"S","D",1,1,0,"-70.7124188.93E-4","-33.4715468.93E-4",2017
"71"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,1,1,0,5,2.17000007629395,0,1,0,"S","D",6,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"72"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,1208750,1,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"73"," "," ","SOLTERO","F","CHILENO",26,"C3","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"74"," "," ","SOLTERO","F","CHILENO",25,"E","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-71.2231458.93E-4","-33.6805198.93E-4",2017
"75"," "," ","SOLTERO","F","CHILENO",26,"D","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",3,3,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"76"," "," ","SOLTERO","M","CHILENO",25,"E","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",3,3,0,"-71.2207728.93E-4","-33.6806878.93E-4",2017
"77"," "," ","SOLTERO","M","CHILENO",25,"D","V"," ",1,"1",1,"0",0,0,0,1,1,1,0,0,0,0,0,"S","D",5,5,0,"-71.2249078.93E-4","-33.6924638.93E-4",2017
"78"," "," ","SOLTERO","M","CHILENO",26,"C3","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-71.2063988.93E-4","-33.6824048.93E-4",2017
"79"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",3,3,0,"-71.2211848.93E-4","-33.6960838.93E-4",2017
"80"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"4",1,"0",0,867142,1,0,0,0,0,0,0,0,0,"S","D",3,3,0,"-71.1249778.93E-4","-33.5150578.93E-4",2017
"81"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",2,"1",1,"0",0,0,1,0,0,1,0,0,0,0,0,"S","D",3,3,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"82"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",1,1,0,"-71.2303478.93E-4","-33.684838.93E-4",2017
"83"," "," ","SOLTERO","M","CHILENO",26,"C3","V"," ",1,"1",1,"0",0,15837380,2,0,0,1,0,0,0,0,0,"S","D",4,4,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"84"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,1,0,0,0,0,0,"S","D",3,3,1,"-71.2015238.93E-4","-33.6791888.93E-4",2017
"85"," "," ","SOLTERO","M","CHILENO",26,"SIN CLASIFICACION","V"," ",1,"6",0,"0",0,0,0,0,0,0,1,17.6399993896484,0,1,0,"S","D",3,3,1,"-69.5071568.93E-4","-20.7723088.93E-4",2017
"86"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",0,"0",0,"0",0,2490000,0,0,0,1,0,0,0,0,0,"S","D",5,5,0," "," ",2017
"87"," "," ","SOLTERO","M","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"1",1,"0",0,0,0,0,0,0,1,22.3700008392334,0,1,0,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"88"," "," ","CASADO","F","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,0,0,0,0,0,"S","D",2,2,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
"89"," "," ","SOLTERO","F","CHILENO",25,"SIN CLASIFICACION","V"," ",1,"12",0,"0",0,830000,0,0,0,0,12,8.92000007629395,1,0,1,"S","D",3,3,1,"-71.3420648.93E-4","-34.3730518.93E-4",2017
"90"," "," ","SOLTERO","M","CHILENO",26,"E","V"," ",1,"1",1,"0",0,0,0,0,0,0,10,27.6700000762939,0,1,0,"S","D",5,5,0,"-71.1962058.93E-4","-33.7408918.93E-4",2017
